chemo.coef,chemo.coef.abs,sites,RBI_value_ind_noncatch,RBI_value_ind_catch,site.type,site_no
-0.003182,0.003182,BLUE,0.018130468247250973,NA,SPRING,02319950
-3.034e-4,3.034e-4,BOW,0.0076081404468942085,NA,RIVER,02313098
-4.608e-5,4.608e-5,CHAS,0.10521115913922167,NA,RIVER,02310650
0.0060945,0.0060945,CRANE,0.002994953654310924,2.3769473446912096e-4,CREEK,02249500
-0.0221976,0.0221976,DRAIN,0.01843800216669292,NA,CANAL,02248600
2.515e-4,2.515e-4,FELL,0.004313639091970196,NA,CANAL,02251767
-0.001881,0.001881,HOL,6.165854223568886e-4,NA,SPRING,02322688
-3.747e-4,3.747e-4,HOM,0.006176098348752233,NA,SPRING,02310678
3.953e-4,3.953e-4,HUN,0.22466719624919504,NA,SPRING,02310743
-6.377e-4,6.377e-4,ICHE,0.016781189545410188,7.878492744324031e-5,RIVER,02322700
0.001523,0.001523,MAD,0.0018708306271703638,NA,SPRING,02319302
0.001659,0.001659,MAIN,0.14781151532465703,NA,CANAL,02253000
-3.337e-4,3.337e-4,MAN,0.0086881425918433,NA,SPRING,02323566
-7.366e-6,7.366e-6,RAIN,2.1603806258422225e-4,NA,RIVER,02313100
-2.001e-4,2.001e-4,SANTA,0.04569757652169267,3.3258789317098016e-5,RIVER,02322800
1.792e-4,1.792e-4,THREE,0.5155921119198906,NA,CANAL,02289035
-7.248e-5,7.248e-5,TURK,0.12048544411933004,0.0011474804201840956,CREEK,02250030
9.849e-5,9.849e-5,WAC,0.04571870014606613,NA,RIVER,02326526
